"1","500638","Cheupoos","1","2012-08-10"
"2","500637","Thralios","2","2012-08-11"
"3","500476","Ken","1","2012-08-10"
"4","500401","Toyonishi","1","2012-08-10"
"5","500224","Ageos","1","2012-08-10"
"6","500470","Nabemiya","1","2012-08-10"
"7","500980","Oldios","1","2012-08-10"
"8","500106","Nokes","1","2012-08-10"
"9","500910","Nalotia","1","2012-08-10"
"10","500527","Hanayuki","1","2012-08-10"
"11","500970","Miaraios","1","2012-08-10"
"12","500027","Chanya","1","2012-08-10"
"13","500390","Oofuku","1","2012-08-10"
"14","500179","Angorm","1","2012-08-10"
"15","500009","Orver","1","2012-08-10"
"16","500485","Shirosa","1","2012-08-10"
"17","500891","Achetia","1","2012-08-10"
"18","500136","Garelm","1","2012-08-10"
"19","500958","Sulatia","1","2012-08-10"
"20","500841","Rosios","1","2012-08-10"
"21","500274","Draer","1","2012-08-10"
"22","500042","Eryroth","1","2012-08-10"
"23","500303","Etas","1","2012-08-10"
"24","500269","Mosdynler","1","2012-08-10"
"25","500024","Iraw","2","2012-08-11"
"26","500995","Canios","1","2012-08-10"
"27","500072","Aughaugh","1","2012-08-10"
"28","500260","Vamor","1","2012-08-10"
"29","500570","Oo","1","2012-08-10"
"30","500955","Untotia","1","2012-08-10"
"31","500673","Suluos","1","2012-08-11"
"32","500741","Quaios","1","2012-08-11"
"33","500693","Ranaos","1","2012-08-11"
"34","500892","Leateos","1","2012-08-11"
"35","500198","Tonorr","2","2012-08-11"
"36","500671","Tasoutia","1","2012-08-11"
"37","500077","Teliss","1","2012-08-11"
"38","500519","Kamikawa","2","2012-08-11"
"39","500438","Koyama","1","2012-08-11"
"40","500685","Etoos","1","2012-08-11"
"41","500247","Issendryn","1","2012-08-11"
"42","500559","Zawakami","2","2012-08-11"
"43","500754","Ashoitia","2","2012-08-11"
"44","500055","Dyn'dra","1","2012-08-11"
"45","500422","Fujiue","1","2012-08-11"
"46","500609","Hou-luojai","1","2012-08-11"
"47","500420","Matsugawa","1","2012-08-11"
"48","500235","Inggha","1","2012-08-11"
"49","500735","Limios","1","2012-08-11"
"50","500052","Sneroth","1","2012-08-11"
"51","500700","Vorietia","1","2012-08-11"
"52","500448","Hirafuji","1","2012-08-11"
"53","500366","Fukuno","1","2012-08-11"
"54","500628","Aughitia","1","2012-08-11"
"55","500078","Osut","1","2012-08-11"
"56","500716","Druivios","1","2012-08-11"
"57","500544","Hon","1","2012-08-11"
"58","500679","Viryios","1","2012-08-11"
"59","500145","Perc","1","2012-08-11"
"60","500483","Yoshikami","1","2012-08-11"
"61","500225","Rothradgha","1","2012-08-11"
"62","500574","Motosaka","1","2012-08-11"
"63","500662","Kafyios","1","2012-08-11"
"64","500876","Lierios","1","2012-08-11"
"65","500991","Naloetia","1","2012-08-11"
"66","500573","Nabehana","1","2012-08-11"
"67","500294","Urnosh","1","2012-08-11"
"68","500005","Lyepryn","1","2012-08-11"
"69","500150","En'ia","2","2012-08-11"
"70","500029","Dyn'ina","1","2012-08-11"
"71","500906","Etatia","1","2012-08-11"
"72","500154","Devali","1","2012-08-11"
"73","500350","Zoekhon","1","2012-08-11"
"74","500999","Danaos","1","2012-08-11"
"75","500000","Skely","1","2012-08-11"
"76","500167","Sneikos","1","2012-08-11"
"77","500569","Fujigin","1","2012-08-11"
"78","500717","Mumaos","1","2012-08-11"
"79","500926","Radios","1","2012-08-11"
"80","500412","Kenhon","1","2012-08-11"
"81","500541","Shitamura","1","2012-08-11"
"82","500652","Striryos","1","2012-08-11"
"83","500561","Datake","1","2012-08-11"
"84","500706","Ackitia","1","2012-08-11"
"85","500678","Ustitia","1","2012-08-11"
"86","500363","Kinbashi","1","2012-08-11"
"87","500022","Undver","1","2012-08-11"
"88","500265","Roistia","1","2012-08-11"
"89","500400","Dachi","1","2012-08-11"
"90","500253","Ust'vese","1","2012-08-11"
"91","500566","Muratake","1","2012-08-11"
"92","500654","Eldetia","1","2012-08-11"
"93","500085","Tyaugh","1","2012-08-11"
"94","500445",\N,\N,\N
"95","500230",\N,\N,\N
"96","500650",\N,\N,\N
"97","500807",\N,\N,\N
"98","500258",\N,\N,\N
"99","500635",\N,\N,\N
"100","500279",\N,\N,\N
"101","500536",\N,\N,\N
"102","500441",\N,\N,\N
"103","500783",\N,\N,\N
"104","500290",\N,\N,\N
"105","500308",\N,\N,\N
"106","500517",\N,\N,\N
"107","500456",\N,\N,\N
"108","500761",\N,\N,\N
"109","500034",\N,\N,\N
"110","500512",\N,\N,\N
"111","500309",\N,\N,\N
"112","500568",\N,\N,\N
"113","500777",\N,\N,\N
"114","500149",\N,\N,\N
"115","500424",\N,\N,\N
"116","500599",\N,\N,\N
"117","500784",\N,\N,\N
"118","500526",\N,\N,\N
"119","500929",\N,\N,\N
"120","500099",\N,\N,\N
"121","500889",\N,\N,\N
"122","500918",\N,\N,\N
"123","500061",\N,\N,\N
"124","500344","Tanen",\N,\N
"125","500255",\N,\N,\N
"126","500835",\N,\N,\N
"127","500394","Kitawa",\N,\N
"128","500966",\N,\N,\N
"129","500722",\N,\N,\N
"130","500296",\N,\N,\N
"131","500306",\N,\N,\N
"132","500207",\N,\N,\N
"133","500188",\N,\N,\N
"134","500710",\N,\N,\N
"135","500688",\N,\N,\N
"136","500234",\N,\N,\N
"137","500879",\N,\N,\N
"138","500623",\N,\N,\N
"139","500074",\N,\N,\N
"140","500439",\N,\N,\N
"141","500629",\N,\N,\N
"142","500739",\N,\N,\N
